iter	Passed	Remaining
1024	8163	71481
1025	8171	71476
1026	8180	71471
1027	8187	71461
1028	8196	71454
1029	8203	71445
1030	8212	71439
1031	8219	71428
1032	8227	71423
1033	8236	71416
1034	8243	71404
1035	8251	71400
1036	8260	71395
1037	8268	71385
1038	8275	71374
1039	8283	71364
1040	8291	71360
1041	8300	71355
1042	8307	71345
1043	8316	71343
1044	8324	71339
1045	8332	71330
1046	8340	71322
1047	8348	71316
1048	8356	71307
1049	8364	71298
1050	8372	71290
1051	8380	71279
1052	8387	71266
1053	8395	71257
1054	8403	71248
1055	8411	71242
1056	8419	71232
1057	8427	71225
1058	8435	71216
1059	8443	71209
1060	8451	71201
1061	8459	71195
1062	8467	71186
1063	8475	71177
1064	8482	71166
1065	8490	71157
1066	8498	71150
1067	8506	71145
1068	8514	71137
1069	8522	71129
1070	8530	71123
1071	8538	71114
1072	8546	71107
1073	8554	71098
1074	8563	71093
1075	8570	71084
1076	8579	71077
1077	8586	71064
1078	8594	71057
1079	8603	71055
1080	8611	71052
1081	8619	71043
1082	8627	71032
1083	8635	71026
1084	8643	71020
1085	8652	71022
1086	8660	71013
1087	8668	71008
1088	8676	71000
1089	8685	70997
1090	8693	70990
1091	8702	70986
1092	8710	70981
1093	8718	70972
1094	8726	70968
1095	8734	70958
1096	8742	70948
1097	8749	70937
1098	8757	70931
1099	8766	70927
1100	8774	70918
1101	8782	70910
1102	8789	70901
1103	8797	70892
1104	8806	70887
1105	8814	70882
1106	8822	70872
1107	8830	70865
1108	8838	70856
1109	8845	70846
1110	8854	70841
1111	8862	70835
1112	8870	70829
1113	8879	70825
1114	8887	70818
1115	8895	70810
1116	8903	70807
1117	8912	70807
1118	8920	70797
1119	8928	70787
1120	8935	70776
1121	8944	70772
1122	8951	70761
1123	8959	70752
1124	8967	70743
1125	8975	70736
1126	8983	70728
1127	8991	70718
1128	8999	70711
1129	9006	70699
1130	9015	70697
1131	9023	70689
1132	9031	70685
1133	9040	70680
1134	9048	70671
1135	9056	70666
1136	9064	70655
1137	9072	70647
1138	9080	70646
1139	9089	70639
1140	9097	70632
1141	9105	70626
1142	9112	70613
1143	9120	70605
1144	9128	70597
1145	9136	70588
1146	9145	70586
1147	9153	70583
1148	9161	70571
1149	9169	70563
1150	9176	70553
1151	9184	70543
1152	9193	70542
1153	9201	70536
1154	9210	70531
1155	9218	70524
1156	9226	70518
1157	9234	70507
1158	9242	70502
1159	9249	70490
1160	9257	70481
1161	9265	70474
1162	9273	70465
1163	9281	70453
1164	9288	70441
1165	9296	70434
1166	9304	70425
1167	9312	70420
1168	9321	70415
1169	9329	70406
1170	9337	70401
1171	9345	70391
1172	9352	70379
1173	9361	70376
1174	9368	70365
1175	9376	70358
1176	9384	70350
1177	9393	70346
1178	9401	70336
1179	9408	70327
1180	9416	70318
1181	9424	70309
1182	9432	70302
1183	9441	70298
1184	9449	70290
1185	9456	70280
1186	9465	70273
1187	9473	70267
1188	9481	70264
1189	9489	70255
1190	9498	70250
1191	9505	70239
1192	9514	70235
1193	9522	70229
1194	9530	70223
1195	9538	70216
1196	9546	70210
1197	9555	70206
1198	9563	70198
1199	9571	70191
1200	9579	70184
1201	9587	70178
1202	9596	70174
1203	9604	70166
1204	9612	70160
1205	9621	70157
1206	9629	70151
1207	9637	70140
1208	9645	70133
1209	9653	70128
1210	9662	70127
1211	9670	70117
1212	9678	70113
